源节点,目标节点,支持算法数,支持算法
疾病_陈旧性脑梗死,药物_硫酸氢氯吡格雷片,3,"PC算法, 爬山算法, 贪婪等价搜索"
疾病_胆囊结石,疾病_脂肪肝,2,"PC算法, 爬山算法"
疾病_胆囊结石,药物_盐酸二甲双胍片,2,"PC算法, 爬山算法"
疾病_低蛋白血症,检验_白球比,4,"PC算法, 爬山算法, 贪婪等价搜索, 树搜索"
检验_血小板分布宽度,检验_平均血小板体积,3,"PC算法, 贪婪等价搜索, 树搜索"
检验_血小板分布宽度,检验_大型血小板比率,3,"PC算法, 爬山算法, 专家在循环"
药物_苯磺酸氨氯地平片,疾病_高血压,2,"PC算法, 爬山算法"
药物_呋塞米片,药物_螺内酯片,2,"PC算法, 贪婪等价搜索"
疾病_心功能,疾病_不稳定性心绞痛,2,"PC算法, 专家在循环"
疾病_不稳定性心绞痛,疾病_心功能,4,"PC算法, 爬山算法, 贪婪等价搜索, 树搜索"
检验_淋巴细胞比率,检验_中性粒细胞比率,3,"PC算法, 贪婪等价搜索, 树搜索"
检验_淋巴细胞比率,检验_淋巴细胞数量,2,"PC算法, 爬山算法"
检验_中性粒细胞比率,检验_中性粒细胞数量,5,"PC算法, 爬山算法, 贪婪等价搜索, 树搜索, 专家在循环"
检验_中性粒细胞比率,检验_淋巴细胞比率,2,"PC算法, 爬山算法"
药物_肝素钠注射液,疾病_脑梗死,3,"PC算法, 爬山算法, 树搜索"
检验_氯,检验_钠,4,"PC算法, 爬山算法, 贪婪等价搜索, 专家在循环"
检验_钠,检验_氯,2,"PC算法, 树搜索"
疾病_高脂血症,疾病_动脉硬化,3,"PC算法, 爬山算法, 树搜索"
疾病_动脉硬化,疾病_高脂血症,2,"PC算法, 贪婪等价搜索"
检验_直接胆红素,检验_总胆红素,2,"PC算法, 树搜索"
检验_总胆红素,检验_直接胆红素,3,"PC算法, 爬山算法, 贪婪等价搜索"
检验_总胆红素,检验_间接胆红素,3,"PC算法, 贪婪等价搜索, 树搜索"
药物_重组人促红素注射液,疾病_尿毒症,4,"PC算法, 爬山算法, 贪婪等价搜索, 树搜索"
检验_白细胞,检验_中性粒细胞数量,2,"PC算法, 专家在循环"
检验_中性粒细胞数量,检验_白细胞,4,"PC算法, 爬山算法, 贪婪等价搜索, 树搜索"
疾病_颈椎病,疾病_腰椎间盘突出,4,"PC算法, 爬山算法, 贪婪等价搜索, 树搜索"
疾病_非毒性多个甲状腺结节,疾病_血糖控制不佳,3,"PC算法, 爬山算法, 贪婪等价搜索"
检验_嗜碱性粒细胞比率,检验_嗜碱性粒细胞数量,3,"PC算法, 爬山算法, 树搜索"
检验_嗜碱性粒细胞数量,检验_嗜碱性粒细胞比率,3,"PC算法, 贪婪等价搜索, 专家在循环"
检验_淋巴细胞数量,检验_淋巴细胞比率,4,"PC算法, 贪婪等价搜索, 树搜索, 专家在循环"
检验_大型血小板比率,检验_血小板分布宽度,3,"PC算法, 贪婪等价搜索, 树搜索"
疾病_腔隙性脑梗死,药物_劳拉西泮片,3,"PC算法, 爬山算法, 贪婪等价搜索"
检验_嗜酸性粒细胞比率,检验_嗜酸性粒细胞数量,3,"PC算法, 贪婪等价搜索, 树搜索"
检验_嗜酸性粒细胞数量,检验_嗜酸性粒细胞比率,2,"PC算法, 爬山算法"
检验_间接胆红素,检验_总胆红素,2,"PC算法, 爬山算法"
疾病_高血压,药物_阿司匹林肠溶片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高血压,药物_富马酸比索洛尔片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高血压,疾病_陈旧性脑梗死,2,"爬山算法, 树搜索"
疾病_高血压,疾病_肝功能异常,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高血压,药物_硝苯地平控释片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高血压,药物_厄贝沙坦氢氯噻嗪片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高脂血症,药物_匹伐他汀钙片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高脂血症,药物_阿托伐他汀钙片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高脂血症,疾病_腔隙性脑梗死,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_高脂血症,疾病_前列腺增生,2,"爬山算法, 贪婪等价搜索"
疾病_糖尿病,药物_阿卡波糖片,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_糖尿病,疾病_糖尿病性周围神经病,4,"爬山算法, 贪婪等价搜索, 树搜索, 专家在循环"
疾病_糖尿病,药物_盐酸二甲双胍片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_糖尿病,药物_甲钴胺分散片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_糖尿病,检验_尿酸,2,"爬山算法, 贪婪等价搜索"
疾病_糖尿病,疾病_肝囊肿,2,"爬山算法, 贪婪等价搜索"
疾病_冠状动脉粥样硬化性心脏病,疾病_不稳定性心绞痛,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_冠状动脉粥样硬化性心脏病,药物_盐酸曲美他嗪片,4,"爬山算法, 贪婪等价搜索, 树搜索, 专家在循环"
疾病_冠状动脉粥样硬化性心脏病,疾病_尿毒症,2,"爬山算法, 贪婪等价搜索"
疾病_冠状动脉粥样硬化性心脏病,药物_阿托伐他汀钙片,2,"爬山算法, 贪婪等价搜索"
疾病_反流性食管炎,疾病_胆囊结石,2,"爬山算法, 贪婪等价搜索"
疾病_反流性食管炎,疾病_贫血,2,"爬山算法, 贪婪等价搜索"
疾病_反流性食管炎,疾病_糖尿病性周围神经病,2,"爬山算法, 贪婪等价搜索"
疾病_反流性食管炎,药物_琥珀酸亚铁片,2,"爬山算法, 贪婪等价搜索"
疾病_动脉硬化,疾病_慢性胃炎,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_脂肪肝,疾病_糖尿病性周围血管病,2,"爬山算法, 贪婪等价搜索"
疾病_脂肪肝,疾病_肺恶性肿瘤,2,"爬山算法, 贪婪等价搜索"
疾病_脂肪肝,检验_C反应蛋白,2,"爬山算法, 贪婪等价搜索"
疾病_混合痔,药物_头孢地尼分散片,3,"爬山算法, 树搜索, 专家在循环"
疾病_高尿酸血症,药物_碳酸氢钠片,4,"爬山算法, 贪婪等价搜索, 树搜索, 专家在循环"
疾病_高尿酸血症,药物_硝苯地平控释片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_心律失常,疾病_慢性支气管炎,2,"爬山算法, 贪婪等价搜索"
疾病_肺部感染,药物_葡萄糖注射液,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_肺部感染,检验_镁,2,"爬山算法, 贪婪等价搜索"
疾病_肺部感染,疾病_低钾血症,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_肺部感染,检验_血小板,2,"爬山算法, 贪婪等价搜索"
疾病_尿毒症,检验_胆碱酯酶,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_尿毒症,检验_谷丙转氨酶,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_尿毒症,检验_肌酐,2,"爬山算法, 贪婪等价搜索"
疾病_尿毒症,检验_红细胞平均体积,2,"爬山算法, 贪婪等价搜索"
疾病_非毒性多个甲状腺结节,疾病_脂肪肝,2,"爬山算法, 贪婪等价搜索"
疾病_非毒性多个甲状腺结节,检验_红细胞压积,2,"爬山算法, 贪婪等价搜索"
疾病_非毒性多个甲状腺结节,疾病_老年性白内障,2,"爬山算法, 贪婪等价搜索"
疾病_腔隙性脑梗死,疾病_高尿酸血症,2,"爬山算法, 贪婪等价搜索"
疾病_糖尿病性周围神经病,疾病_糖尿病性周围血管病,4,"爬山算法, 贪婪等价搜索, 树搜索, 专家在循环"
疾病_糖尿病性周围神经病,疾病_高尿酸血症,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_糖尿病性周围神经病,疾病_糖尿病性视网膜病变,4,"爬山算法, 贪婪等价搜索, 树搜索, 专家在循环"
疾病_糖尿病性周围神经病,药物_甲钴胺片,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_低蛋白血症,疾病_泌尿系感染,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_肢体动脉硬化,药物_艾司唑仑片,2,"爬山算法, 贪婪等价搜索"
疾病_脑梗死,疾病_糖尿病性视网膜病变,2,"爬山算法, 贪婪等价搜索"
疾病_恶性肿瘤维持性化学治疗,检验_尿酸,2,"爬山算法, 贪婪等价搜索"
疾病_重度骨质疏松,药物_骨化三醇胶丸,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_重度骨质疏松,药物_碳酸钙片,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_肺恶性肿瘤,疾病_恶性肿瘤维持性化学治疗,2,"爬山算法, 贪婪等价搜索"
疾病_肺恶性肿瘤,疾病_前列腺增生,2,"爬山算法, 贪婪等价搜索"
疾病_肺恶性肿瘤,检验_单核细胞数量,2,"爬山算法, 贪婪等价搜索"
疾病_胆囊结石,药物_甲钴胺片,2,"爬山算法, 贪婪等价搜索"
疾病_胆囊结石,检验_钙,2,"爬山算法, 贪婪等价搜索"
疾病_颈总动脉斑块,疾病_肢体动脉硬化,2,"爬山算法, 贪婪等价搜索"
疾病_颈总动脉斑块,疾病_心律失常,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_低钾血症,疾病_心功能,2,"爬山算法, 贪婪等价搜索"
疾病_低钾血症,检验_钾,2,"爬山算法, 贪婪等价搜索"
疾病_贫血,药物_琥珀酸亚铁片,2,"爬山算法, 贪婪等价搜索"
疾病_不稳定性心绞痛,疾病_反流性食管炎,2,"爬山算法, 贪婪等价搜索"
疾病_不稳定性心绞痛,药物_盐酸曲美他嗪片,2,"爬山算法, 贪婪等价搜索"
疾病_慢性胃炎,疾病_结肠息肉,2,"爬山算法, 贪婪等价搜索"
疾病_糖尿病性周围血管病,疾病_血糖控制不佳,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_肛乳头肥大,检验_谷草/谷丙,2,"爬山算法, 贪婪等价搜索"
疾病_血糖控制不佳,药物_精蛋白生物合成人胰岛素注射液,2,"爬山算法, 贪婪等价搜索"
疾病_糖尿病性视网膜病变,疾病_白内障,3,"爬山算法, 贪婪等价搜索, 树搜索"
疾病_糖尿病性视网膜病变,药物_厄贝沙坦片,2,"爬山算法, 贪婪等价搜索"
疾病_肾性贫血,药物_骨化三醇胶丸,2,"爬山算法, 贪婪等价搜索"
疾病_肾性贫血,药物_琥珀酸亚铁片,2,"爬山算法, 贪婪等价搜索"
疾病_高同型半胱氨酸血症,药物_叶酸片,3,"爬山算法, 贪婪等价搜索, 专家在循环"
疾病_高同型半胱氨酸血症,疾病_肢体动脉硬化,2,"爬山算法, 贪婪等价搜索"
药物_氯化钠注射液,药物_葡萄糖注射液,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_阿司匹林肠溶片,药物_阿托伐他汀钙片,2,"爬山算法, 贪婪等价搜索"
药物_阿司匹林肠溶片,疾病_重度骨质疏松,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_阿司匹林肠溶片,药物_厄贝沙坦片,2,"爬山算法, 贪婪等价搜索"
药物_盐酸羟考酮缓释片,药物_硝苯地平缓释片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_盐酸羟考酮缓释片,药物_盐酸布桂嗪注射液,4,"爬山算法, 贪婪等价搜索, 树搜索, 专家在循环"
药物_阿托伐他汀钙片,药物_硫酸氢氯吡格雷片,2,"爬山算法, 贪婪等价搜索"
药物_阿托伐他汀钙片,疾病_心律失常,2,"爬山算法, 贪婪等价搜索"
药物_阿卡波糖片,疾病_非毒性单个甲状腺结节,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_阿卡波糖片,疾病_糖尿病性周围神经病,2,"爬山算法, 贪婪等价搜索"
药物_阿卡波糖片,检验_谷草转氨酶,2,"爬山算法, 贪婪等价搜索"
药物_阿卡波糖片,药物_精蛋白生物合成人胰岛素注射液,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_阿卡波糖片,疾病_泌尿系感染,2,"爬山算法, 贪婪等价搜索"
药物_碳酸钙片,疾病_糖尿病性视网膜病变,2,"爬山算法, 贪婪等价搜索"
药物_肝素钠注射液,药物_氯化钠注射液,2,"爬山算法, 贪婪等价搜索"
药物_酒石酸美托洛尔片,药物_富马酸比索洛尔片,2,"爬山算法, 贪婪等价搜索"
药物_酒石酸美托洛尔片,药物_硝苯地平缓释片,2,"爬山算法, 贪婪等价搜索"
药物_单硝酸异山梨酯片,疾病_类风湿性关节炎,2,"爬山算法, 贪婪等价搜索"
药物_地西泮片,药物_磷酸可待因片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_骨化三醇胶丸,药物_碳酸钙片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_骨化三醇胶丸,疾病_类风湿性关节炎,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_骨化三醇胶丸,药物_酒石酸美托洛尔片,2,"爬山算法, 贪婪等价搜索"
药物_叶酸片,药物_卡维地洛片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_叶酸片,药物_甲钴胺分散片,2,"爬山算法, 贪婪等价搜索"
药物_硝苯地平控释片,药物_厄贝沙坦氢氯噻嗪片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_硝苯地平控释片,药物_厄贝沙坦片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_重组人促红素注射液,检验_磷,3,"爬山算法, 贪婪等价搜索, 专家在循环"
药物_富马酸比索洛尔片,药物_硝苯地平缓释片,2,"爬山算法, 贪婪等价搜索"
药物_富马酸比索洛尔片,药物_甲钴胺片,2,"爬山算法, 贪婪等价搜索"
药物_富马酸比索洛尔片,疾病_心律失常,2,"爬山算法, 贪婪等价搜索"
药物_甲钴胺分散片,药物_卡维地洛片,2,"爬山算法, 贪婪等价搜索"
药物_琥珀酸亚铁片,药物_叶酸片,2,"爬山算法, 贪婪等价搜索"
药物_琥珀酸亚铁片,疾病_糖尿病性周围血管病,2,"爬山算法, 贪婪等价搜索"
药物_盐酸氨溴索注射液,药物_二羟丙茶碱注射液,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_盐酸氨溴索注射液,药物_肝素钠注射液,2,"爬山算法, 树搜索"
药物_盐酸氨溴索注射液,检验_碳酸氢盐,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_螺内酯片,药物_艾司唑仑片,2,"爬山算法, 贪婪等价搜索"
药物_氯化钾注射液,药物_盐酸氨溴索注射液,2,"爬山算法, 树搜索"
药物_氯化钾注射液,疾病_肺部感染,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_氯化钾注射液,药物_氯化钠注射液,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_氯化钾注射液,药物_维生素C注射液,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_碳酸氢钠片,检验_磷,2,"爬山算法, 贪婪等价搜索"
药物_二羟丙茶碱注射液,药物_阿卡波糖片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_二羟丙茶碱注射液,药物_酒石酸美托洛尔片,2,"爬山算法, 贪婪等价搜索"
药物_二羟丙茶碱注射液,药物_富马酸比索洛尔片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_二羟丙茶碱注射液,药物_维生素C注射液,2,"爬山算法, 贪婪等价搜索"
药物_贞芪扶正,疾病_肺恶性肿瘤,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_贞芪扶正,疾病_恶性肿瘤维持性化学治疗,2,"爬山算法, 贪婪等价搜索"
药物_盐酸曲美他嗪片,疾病_陈旧性脑梗死,2,"爬山算法, 贪婪等价搜索"
药物_盐酸曲美他嗪片,疾病_低蛋白血症,2,"爬山算法, 贪婪等价搜索"
药物_盐酸曲美他嗪片,药物_阿卡波糖片,2,"爬山算法, 贪婪等价搜索"
药物_盐酸曲美他嗪片,药物_硫酸氢氯吡格雷片,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_盐酸吗啡注射液,药物_盐酸布桂嗪注射液,2,"爬山算法, 贪婪等价搜索"
药物_匹伐他汀钙片,疾病_脂肪肝,3,"爬山算法, 贪婪等价搜索, 树搜索"
药物_匹伐他汀钙片,药物_阿托伐他汀钙片,2,"爬山算法, 贪婪等价搜索"
药物_厄贝沙坦氢氯噻嗪片,疾病_低钾血症,2,"爬山算法, 贪婪等价搜索"
检验_葡萄糖,疾病_肝囊肿,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_葡萄糖,药物_地西泮注射液,2,"爬山算法, 贪婪等价搜索"
检验_葡萄糖,药物_碳酸钙片,2,"爬山算法, 贪婪等价搜索"
检验_尿酸,疾病_重度骨质疏松,2,"爬山算法, 贪婪等价搜索"
检验_尿酸,检验_钾,2,"爬山算法, 贪婪等价搜索"
检验_尿酸,药物_劳拉西泮片,2,"爬山算法, 贪婪等价搜索"
检验_尿酸,疾病_慢性胃炎,2,"爬山算法, 贪婪等价搜索"
检验_氯,药物_单硝酸异山梨酯缓释片,2,"爬山算法, 贪婪等价搜索"
检验_氯,药物_葡萄糖注射液,2,"爬山算法, 贪婪等价搜索"
检验_钠,药物_重组人促红素注射液,2,"爬山算法, 贪婪等价搜索"
检验_钠,检验_淋巴细胞比率,2,"爬山算法, 贪婪等价搜索"
检验_钠,检验_葡萄糖,2,"爬山算法, 贪婪等价搜索"
检验_镁,检验_碳酸氢盐,2,"爬山算法, 贪婪等价搜索"
检验_磷,药物_碳酸钙片,2,"爬山算法, 贪婪等价搜索"
检验_总蛋白,检验_钙,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_白球比,检验_白蛋白,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_白球比,药物_氯化钾注射液,2,"爬山算法, 树搜索"
检验_白球比,检验_前白蛋白,3,"爬山算法, 贪婪等价搜索, 专家在循环"
检验_白球比,检验_血小板,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_白球比,检验_钙,2,"爬山算法, 贪婪等价搜索"
检验_白球比,药物_盐酸吗啡注射液,2,"爬山算法, 贪婪等价搜索"
检验_白球比,疾病_高脂血症,2,"爬山算法, 树搜索"
检验_球蛋白,疾病_结肠息肉,2,"爬山算法, 贪婪等价搜索"
检验_直接胆红素,检验_总胆汁酸,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_直接胆红素,药物_盐酸羟考酮缓释片,2,"爬山算法, 贪婪等价搜索"
检验_直接胆红素,疾病_泌尿系感染,2,"爬山算法, 贪婪等价搜索"
检验_直接胆红素,检验_碱性磷酸酶,2,"爬山算法, 树搜索"
检验_红细胞压积,检验_红细胞,2,"爬山算法, 专家在循环"
检验_红细胞压积,检验_直接胆红素,2,"爬山算法, 贪婪等价搜索"
检验_红细胞压积,药物_碳酸氢钠片,2,"爬山算法, 贪婪等价搜索"
检验_白细胞,药物_二羟丙茶碱注射液,2,"爬山算法, 贪婪等价搜索"
检验_红细胞,疾病_贫血,2,"爬山算法, 贪婪等价搜索"
检验_红细胞,疾病_白内障,2,"爬山算法, 贪婪等价搜索"
检验_血红蛋白,检验_红细胞,2,"爬山算法, 树搜索"
检验_血红蛋白,检验_红细胞分布宽度CV,3,"爬山算法, 树搜索, 专家在循环"
检验_血红蛋白,疾病_低蛋白血症,2,"爬山算法, 贪婪等价搜索"
检验_血小板,药物_维生素C注射液,2,"爬山算法, 贪婪等价搜索"
检验_淋巴细胞数量,检验_直接胆红素,2,"爬山算法, 贪婪等价搜索"
检验_淋巴细胞数量,检验_碳酸氢盐,2,"爬山算法, 贪婪等价搜索"
检验_嗜酸性粒细胞数量,疾病_心功能,2,"爬山算法, 贪婪等价搜索"
检验_红细胞分布宽度SD,检验_红细胞,2,"爬山算法, 贪婪等价搜索"
检验_红细胞分布宽度SD,检验_红细胞平均体积,2,"爬山算法, 贪婪等价搜索"
检验_红细胞分布宽度CV,检验_红细胞分布宽度SD,2,"爬山算法, 树搜索"
检验_红细胞分布宽度CV,检验_钾,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_红细胞分布宽度CV,检验_谷草/谷丙,2,"爬山算法, 贪婪等价搜索"
检验_红细胞分布宽度CV,检验_血小板,2,"爬山算法, 贪婪等价搜索"
检验_红细胞分布宽度CV,疾病_胆囊结石,2,"爬山算法, 贪婪等价搜索"
检验_红细胞分布宽度CV,检验_磷,2,"爬山算法, 贪婪等价搜索"
检验_红细胞分布宽度CV,检验_镁,2,"爬山算法, 贪婪等价搜索"
检验_血小板分布宽度,检验_中性粒细胞数量,2,"爬山算法, 贪婪等价搜索"
检验_大型血小板比率,疾病_老年性白内障,2,"爬山算法, 树搜索"
检验_大型血小板比率,疾病_医疗机构新收治患者及陪护人员,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_嗜酸性粒细胞比率,疾病_医疗机构新收治患者及陪护人员,2,"爬山算法, 贪婪等价搜索"
检验_嗜酸性粒细胞比率,药物_硝苯地平控释片,2,"爬山算法, 贪婪等价搜索"
检验_淋巴细胞比率,药物_维生素B6注射液,2,"爬山算法, 贪婪等价搜索"
检验_单核细胞比率,检验_单核细胞数量,2,"爬山算法, 贪婪等价搜索"
检验_单核细胞比率,检验_白细胞,2,"爬山算法, 贪婪等价搜索"
检验_单核细胞比率,药物_艾司唑仑片,2,"爬山算法, 贪婪等价搜索"
检验_钙,检验_嗜碱性粒细胞比率,2,"爬山算法, 树搜索"
检验_谷丙转氨酶,检验_谷草转氨酶,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_谷丙转氨酶,检验_谷草/谷丙,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_谷丙转氨酶,疾病_肺恶性肿瘤,2,"爬山算法, 贪婪等价搜索"
检验_谷草转氨酶,疾病_腰椎间盘突出,2,"爬山算法, 贪婪等价搜索"
检验_红细胞平均体积,检验_平均血红蛋白含量,3,"爬山算法, 树搜索, 专家在循环"
检验_平均血红蛋白浓度,药物_复方鲜竹沥液,2,"爬山算法, 贪婪等价搜索"
检验_总胆红素,疾病_非毒性单个甲状腺结节,2,"爬山算法, 贪婪等价搜索"
检验_C反应蛋白,疾病_低钾血症,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_C反应蛋白,检验_总蛋白,2,"爬山算法, 贪婪等价搜索"
检验_平均血红蛋白含量,疾病_贫血,2,"爬山算法, 贪婪等价搜索"
检验_平均血红蛋白含量,疾病_类风湿性关节炎,2,"爬山算法, 贪婪等价搜索"
检验_中性粒细胞数量,检验_单核细胞数量,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_中性粒细胞数量,检验_镁,2,"爬山算法, 贪婪等价搜索"
检验_中性粒细胞数量,药物_苯磺酸氨氯地平片,2,"爬山算法, 树搜索"
检验_中性粒细胞数量,药物_复方鲜竹沥液,2,"爬山算法, 贪婪等价搜索"
检验_前白蛋白,检验_镁,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_前白蛋白,检验_总胆红素,2,"爬山算法, 贪婪等价搜索"
检验_肌酐,疾病_腔隙性脑梗死,2,"爬山算法, 贪婪等价搜索"
检验_胆碱酯酶,检验_前白蛋白,2,"爬山算法, 树搜索"
检验_转肽酶,检验_碱性磷酸酶,2,"爬山算法, 专家在循环"
检验_转肽酶,疾病_恶性肿瘤维持性化学治疗,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_转肽酶,疾病_非毒性单个甲状腺结节,2,"爬山算法, 贪婪等价搜索"
检验_转肽酶,药物_骨化三醇胶丸,2,"爬山算法, 贪婪等价搜索"
检验_白蛋白,检验_总蛋白,2,"爬山算法, 树搜索"
检验_碱性磷酸酶,药物_盐酸羟考酮缓释片,2,"爬山算法, 树搜索"
检验_碱性磷酸酶,检验_尿酸,2,"爬山算法, 贪婪等价搜索"
检验_碱性磷酸酶,药物_盐酸吗啡注射液,3,"爬山算法, 贪婪等价搜索, 树搜索"
检验_碱性磷酸酶,疾病_肝功能异常,2,"爬山算法, 树搜索"
疾病_高血压,药物_苯磺酸氨氯地平片,2,"贪婪等价搜索, 树搜索"
疾病_高血压,疾病_脂肪肝,2,"贪婪等价搜索, 树搜索"
疾病_高血压,检验_血小板比容,2,"贪婪等价搜索, 树搜索"
疾病_高血压,检验_嗜酸性粒细胞数量,2,"贪婪等价搜索, 树搜索"
疾病_高血压,疾病_糖尿病,2,"贪婪等价搜索, 树搜索"
疾病_高血压,检验_谷丙转氨酶,2,"贪婪等价搜索, 树搜索"
疾病_高血压,药物_贞芪扶正,2,"贪婪等价搜索, 树搜索"
